Packet,State,CWND,SSTHRESH
1,slow_start,2,16
2,slow_start,3,16
3,slow_start,4,16
4,slow_start,5,16
5,slow_start,6,16
6,slow_start,7,16
7,slow_start,8,16
8,slow_start,9,16
9,slow_start,10,16
10,slow_start,11,16
11,slow_start,12,16
12,slow_start,13,16
13,slow_start,14,16
14,slow_start,15,16
15,congestion_avoidance,16,16
16,congestion_avoidance,16.0625,16
17,congestion_avoidance,16.12475680933852,16
18,congestion_avoidance,16.186773248521085,16
19,congestion_avoidance,16.24855208391012,16
20,congestion_avoidance,16.310096029169724,16
21,congestion_avoidance,16.371407746661244,16
22,congestion_avoidance,16.432489848791647,16
23,slow_start,1,8.216244924395824
24,slow_start,2,8.216244924395824
25,slow_start,3,8.216244924395824
26,slow_start,4,8.216244924395824
27,slow_start,1,2.0
28,congestion_avoidance,2,2.0
29,congestion_avoidance,2.5,2.0
30,congestion_avoidance,2.9,2.0
31,congestion_avoidance,3.2448275862068963,2.0
32,congestion_avoidance,3.5530103704789475,2.0
33,congestion_avoidance,3.8344618428159674,2.0
34,slow_start,1,2
35,congestion_avoidance,2,2
36,congestion_avoidance,2.5,2
37,slow_start,1,2
38,congestion_avoidance,2,2
39,congestion_avoidance,2.5,2
40,congestion_avoidance,2.9,2
41,congestion_avoidance,3.2448275862068963,2
42,congestion_avoidance,3.5530103704789475,2
43,congestion_avoidance,3.8344618428159674,2
44,congestion_avoidance,4.095254632258779,2
45,congestion_avoidance,4.339439692724345,2
46,congestion_avoidance,4.569884190357676,2
47,congestion_avoidance,4.7887081163796905,2
48,congestion_avoidance,4.997532704493449,2
49,congestion_avoidance,5.197631445038131,2
50,congestion_avoidance,5.390026771750771,2
